time_ms,raw,filtered
1.985600000000000000e+04,-1.152601000000000000e+06,-1.152601000000000000e+06
1.985700000000000000e+04,-1.148715000000000000e+06,-1.152212379999999888e+06
1.986800000000000000e+04,-1.146695000000000000e+06,-1.151660620000000112e+06
1.987900000000000000e+04,-1.152655000000000000e+06,-1.151760000000000000e+06
1.989100000000000000e+04,-1.149980000000000000e+06,-1.151582000000000000e+06
1.990200000000000000e+04,-1.146423000000000000e+06,-1.151066000000000000e+06
1.991300000000000000e+04,-1.152429000000000000e+06,-1.151202250000000000e+06
1.992500000000000000e+04,-1.151072000000000000e+06,-1.151189250000000000e+06
1.993600000000000000e+04,-1.146484000000000000e+06,-1.150718750000000000e+06
1.994700000000000000e+04,-1.151951000000000000e+06,-1.150842000000000000e+06
1.995900000000000000e+04,-1.151974000000000000e+06,-1.150955120000000112e+06
1.997000000000000000e+04,-1.146553000000000000e+06,-1.150514879999999888e+06
1.998100000000000000e+04,-1.151702000000000000e+06,-1.150633620000000112e+06
1.999300000000000000e+04,-1.153046000000000000e+06,-1.150874879999999888e+06
2.000400000000000000e+04,-1.147248000000000000e+06,-1.150512120000000112e+06
2.001500000000000000e+04,-1.150943000000000000e+06,-1.150555120000000112e+06
2.002600000000000000e+04,-1.153541000000000000e+06,-1.150853620000000112e+06
2.003800000000000000e+04,-1.147878000000000000e+06,-1.150556000000000000e+06
2.004900000000000000e+04,-1.150713000000000000e+06,-1.150571620000000112e+06
2.006000000000000000e+04,-1.154215000000000000e+06,-1.150936000000000000e+06
2.007200000000000000e+04,-1.148184000000000000e+06,-1.150660750000000000e+06
2.008300000000000000e+04,-1.149782000000000000e+06,-1.150572879999999888e+06
2.009400000000000000e+04,-1.154246000000000000e+06,-1.150940120000000112e+06
2.010600000000000000e+04,-1.148459000000000000e+06,-1.150692000000000000e+06
2.011700000000000000e+04,-1.148906000000000000e+06,-1.150513379999999888e+06
2.012800000000000000e+04,-1.154485000000000000e+06,-1.150910500000000000e+06
2.014000000000000000e+04,-1.149539000000000000e+06,-1.150773379999999888e+06
2.015100000000000000e+04,-1.148895000000000000e+06,-1.150585500000000000e+06
2.016200000000000000e+04,-1.154731000000000000e+06,-1.151000000000000000e+06
2.017400000000000000e+04,-1.150897000000000000e+06,-1.150989750000000000e+06
2.018500000000000000e+04,-1.148352000000000000e+06,-1.150726000000000000e+06
2.019600000000000000e+04,-1.154269000000000000e+06,-1.151080250000000000e+06
2.020700000000000000e+04,-1.151682000000000000e+06,-1.151140379999999888e+06
2.021900000000000000e+04,-1.148030000000000000e+06,-1.150829250000000000e+06
2.023000000000000000e+04,-1.154001000000000000e+06,-1.151146379999999888e+06
2.024100000000000000e+04,-1.152349000000000000e+06,-1.151266620000000112e+06
2.025300000000000000e+04,-1.147964000000000000e+06,-1.150936379999999888e+06
2.026400000000000000e+04,-1.153501000000000000e+06,-1.151192750000000000e+06
2.027500000000000000e+04,-1.153045000000000000e+06,-1.151378000000000000e+06
2.028700000000000000e+04,-1.148115000000000000e+06,-1.151051750000000000e+06
2.029800000000000000e+04,-1.153482000000000000e+06,-1.151294750000000000e+06
2.030900000000000000e+04,-1.154216000000000000e+06,-1.151586879999999888e+06
2.032100000000000000e+04,-1.148411000000000000e+06,-1.151269250000000000e+06
2.033200000000000000e+04,-1.153291000000000000e+06,-1.151471379999999888e+06
2.034300000000000000e+04,-1.155275000000000000e+06,-1.151851750000000000e+06
2.035400000000000000e+04,-1.148476000000000000e+06,-1.151514120000000112e+06
2.036600000000000000e+04,-1.152023000000000000e+06,-1.151565000000000000e+06
2.037700000000000000e+04,-1.155891000000000000e+06,-1.151997620000000112e+06
2.038800000000000000e+04,-1.149560000000000000e+06,-1.151753750000000000e+06
2.040000000000000000e+04,-1.151626000000000000e+06,-1.151741000000000000e+06
2.041100000000000000e+04,-1.155880000000000000e+06,-1.152154879999999888e+06
2.042200000000000000e+04,-1.150267000000000000e+06,-1.151966120000000112e+06
2.043400000000000000e+04,-1.150984000000000000e+06,-1.151867879999999888e+06
2.044500000000000000e+04,-1.156261000000000000e+06,-1.152307120000000112e+06
2.045600000000000000e+04,-1.150814000000000000e+06,-1.152157750000000000e+06
2.046800000000000000e+04,-1.150237000000000000e+06,-1.151965620000000112e+06
2.047900000000000000e+04,-1.156155000000000000e+06,-1.152384500000000000e+06
2.049000000000000000e+04,-1.152114000000000000e+06,-1.152357379999999888e+06
2.050200000000000000e+04,-1.150225000000000000e+06,-1.152144120000000112e+06
2.051300000000000000e+04,-1.156346000000000000e+06,-1.152564250000000000e+06
2.052400000000000000e+04,-1.153063000000000000e+06,-1.152614120000000112e+06
2.053500000000000000e+04,-1.150024000000000000e+06,-1.152355120000000112e+06
2.054700000000000000e+04,-1.155957000000000000e+06,-1.152715250000000000e+06
2.055800000000000000e+04,-1.154195000000000000e+06,-1.152863250000000000e+06
2.056900000000000000e+04,-1.149691000000000000e+06,-1.152546000000000000e+06
2.058100000000000000e+04,-1.155433000000000000e+06,-1.152834620000000112e+06
